地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
广西,税务局,国家税务总局柳城县税务局,一级行政执法员（三）,2,75,54,27,205
四川,税务局,国家税务总局成都市武侯区税务局,一级行政执法员（四）,1,31,27,27,113
四川,税务局,国家税务总局自贡市沿滩区税务局,一级行政执法员（四）,1,28,27,27,89
四川,税务局,国家税务总局广元市朝天区税务局,一级行政执法员（一）,2,54,54,27,146
四川,税务局,国家税务总局广安市广安区税务局,一级行政执法员（一）,1,31,27,27,67
贵州,税务局,国家税务总局贵州大龙经济开发区税务局,一级行政执法员,3,87,81,27,75
青海,青海省气象局,青海省气象局,科技与预报处业务管理一级主任科员及以下,1,27,27,27,26
内蒙古,监管局,鄂尔多斯银保监分局,监管部门一级主任科员及以下,3,81,81,27,35
黑龙江,监管局,黑龙江银保监局,监管部门一级主任科员及以下,5,135,135,27,73
黑龙江,监管局,黑龙江银保监局,统计信息部门一级主任科员及以下,1,27,27,27,43
江苏,监管局,常熟银保监监管组,监管部门一级主任科员及以下,1,27,27,27,69
福建,监管局,福建银保监局,统计信息部门一级主任科员及以下,2,55,54,27,64
江西,监管局,九江银保监分局,法规部门一级主任科员及以下,1,27,27,27,21
河南,监管局,焦作银保监分局辖内监管组,法规部门一级主任科员及以下,1,27,27,27,35
广东,监管局,汕尾银保监分局,法规部门一级主任科员及以下,2,54,54,27,95
云南,监管局,马龙银保监监管组,监管部门一级主任科员及以下,2,55,54,27,24
黑龙江,海关,绥芬河海关,植物检疫四级主办及以下,1,27,27,27,178
江苏,海关,镇江海关,植物检疫一级行政执法员,1,38,27,27,91
海南,海关,椰城海关,动物检疫一级行政执法员（二）,1,30,27,27,44
北京,公安部,机关司局十五,一处一级主任科员及以下,1,36,27,27,127
北京,国家市场监督管理总局,特种设备安全监察局,锅炉与节能环保处一级主任科员及以下,1,28,27,27,36
北京,私局,北京海关缉私局,北京大兴国际机场海关缉私分局一级警长及以下,1,27,27,27,237
福建,税务局,国家税务总局厦门市税务局第二稽查局,一级主任科员及以下（一）,1,37,27,27,112
甘肃,税务局,国家税务总局兰州市城关区税务局,一级行政执法员（五）,4,117,108,27,127
甘肃,税务局,国家税务总局定西市安定区税务局,一级行政执法员（一）,4,114,108,27,67
宁夏,税务局,国家税务总局灵武市税务局,一级行政执法员（二）,2,55,54,27,51
