地区,部门名称,用人司局,职位名称,招考人数,报考人数,过审人数,竞争比,访问人数
内蒙古,公安局,呼和浩特铁路公安局,呼和浩特铁路公安处线路警务区民警,6,16,16,2.67,127
陕西,公安局,西安铁路公安局,安康铁路公安处线路警务区民警,6,20,20,3.33,218
上海,公安局,上海铁路公安局,上海铁路公安处线路警务区民警,6,92,62,10.33,450
上海,公安局,上海铁路公安局,上海铁路公安处线路警务区民警,6,56,36,6,337
湖南,公安局,广州铁路公安局,怀化铁路公安处线路警务区民警,6,69,56,9.33,207
贵州,公安局,广州铁路公安局,怀化铁路公安处线路警务区民警,6,57,34,5.67,211
四川,公安局,长江航运公安局泸州分局,派出所一级警长及以下三,6,85,47,7.83,457
宁夏,消防,宁夏回族自治区消防救援总队所属消防救援支队,宁夏回族自治区消防救援总队固原市支队管理指挥岗位,6,150,147,24.5,185
甘肃,消防,甘肃森林消防总队所属森林消防支队,甘肃省森林消防总队所属支队管理指挥岗位,6,27,27,4.5,425
北京,海关,首都机场海关,监管工作一级行政执法员,6,107,63,10.5,651
北京,海关,首都机场海关,监管工作四级主办及以下（二）,6,241,232,38.67,686
广东,海关,隶属海关,监管一级行政执法员（一）,6,99,96,16,712
广东,海关,隶属海关,行政执法四级主办及以下,6,261,258,43,395
广东,海关,隶属海关,海关业务二级主办及以下,6,8,7,1.17,151
广西,税务局,国家税务总局博白县税务局,一级行政执法员（一）,6,34,31,5.17,57
广西,税务局,国家税务总局博白县税务局,一级行政执法员（二）,6,55,51,8.5,65
四川,税务局,国家税务总局成都高新技术产业开发区税务局,一级主办及以下（二）,6,340,322,53.67,329
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,塔城边境管理支队一级警长及以下（七）,6,19,13,2.17,340
新疆,新疆出入境边防检查总站,新疆出入境边防检查总站,博州边境管理支队一级警长及以下（一）,6,374,365,60.83,452
山西,监管局,吕梁银保监分局,监管部门一级主任科员及以下,6,91,86,14.33,96
辽宁,监管局,朝阳银保监分局,监管部门一级主任科员及以下,6,42,41,6.83,49
上海,监管局,上海银保监局,监管部门一级主任科员及以下,6,77,77,12.83,220
江苏,监管局,常州银保监分局,监管部门一级主任科员及以下,6,155,149,24.83,266
山东,监管局,临沂银保监分局,监管部门一级主任科员及以下,6,155,105,17.5,154
新疆,监管局,巴音郭楞银保监分局,监管部门一级主任科员及以下,6,56,42,7,0
广东,监管局,深圳银保监局,法规部门一级主任科员及以下,6,327,326,54.33,0
浙江,监管局,中国证券监督管理委员会浙江监管局,辖区法律类监管岗位一级主任科员及以下,6,157,86,14.33,0
北京,中央台办,业务司局,一级主任科员及以下,5,473,436,87.2,471
北京,中央党史和文献研究院,研究部1,编研岗一级主任科员及以下,5,264,263,52.6,346
北京,外交部,地区业务司,英语五,5,403,289,57.8,452
内蒙古,公安局,哈尔滨铁路公安局,海拉尔铁路公安处线路警务区民警,5,27,19,3.8,69
内蒙古,公安局,哈尔滨铁路公安局,海拉尔铁路公安处线路警务区民警,5,11,11,2.2,77
吉林,公安局,沈阳铁路公安局,吉林铁路公安处线路警务区民警,5,17,5,1,168
北京,公安局,北京铁路公安局,北京铁路公安处车站派出所民警,5,49,23,4.6,274
天津,公安局,北京铁路公安局,天津铁路公安处车站派出所民警,5,109,107,21.4,411
河北,公安局,北京铁路公安局,天津铁路公安处车站派出所民警,5,168,167,33.4,321
陕西,公安局,西安铁路公安局,西安铁路公安处线路警务区民警,5,31,19,3.8,371
安徽,公安局,上海铁路公安局,合肥铁路公安处线路警务区民警,5,17,9,1.8,917
安徽,公安局,上海铁路公安局,合肥铁路公安处车站派出所民警,5,144,97,19.4,287
江苏,公安局,上海铁路公安局,徐州铁路公安处线路警务区民警,5,32,25,5,180
甘肃,公安局,兰州铁路公安局,兰州铁路公安处线路警务区民警,5,79,72,14.4,169
安徽,公安局,长江航运公安局安庆分局,派出所一级警长及以下二,5,47,28,5.6,460
湖北,海事局,武汉海事局,武汉海事局一级行政执法员（一）,5,51,51,10.2,147
广东,海事局,湛江海事局,湛江海事局一级行政执法员（一）,5,22,22,4.4,96
江西,消防,江西消防救援总队所属消防救援支队,江西省消防救援总队吉安市支队管理指挥岗位,5,239,194,38.8,354
北京,海关,首都机场海关,监管工作四级主办及以下（四）,5,472,471,94.2,405
上海,海关,隶属海关,动物检疫四级主办及以下,5,24,24,4.8,301
广东,海关,隶属海关,监管一级行政执法员（四）,5,1099,1099,219.8,1152
广东,海关,霞山海关,海关登轮检疫一级行政执法员,5,45,37,7.4,188
广东,海关,隶属海关,海关业务二级主办及以下,5,5,5,1,103
北京,税务局,国家税务总局北京市通州区税务局,一级行政执法员（一）,5,328,286,57.2,393
